"year","total_songs","total_minutes","unique_songs","unique_artists","unique_genre","avg_bpm","sd_bpm","avg_nrgy","sd_nrgy"
2014,13695,44336.80441666702,2961,1068,60,123.03046594982087,26.301568541803636,68.39318996415774,20.454730754915182
2015,16454,51416.703683335174,3548,1429,69,121.2688736374647,25.14203739711817,67.59184497375874,22.356077954510006
2016,12984,37778.57946666699,3404,1569,75,121.19057510061012,26.806214363574103,65.30390756847987,22.594242896067836
2017,12385,37738.94951666695,2650,1296,81,121.70032819994944,26.230828792420834,66.95821762181261,20.722406966619342
2018,5353,13346.441783333337,1285,727,82,120.85140186915886,26.253894942850046,68.2495327102804,19.110492237158244
2019,11689,32764.486266666565,2931,1215,86,121.90958357102109,26.94847002172435,66.56503137478583,19.012016205288226
2020,4358,11864.127599999998,1881,723,75,122.59895833333333,27.14987639728855,66.43489583333333,19.244563832204737
2021,8282,22905.136299999955,2608,1059,70,118.51256281407031,28.84728656338255,60.65592669228492,20.590079158386104
2022,13002,36604.74278333348,3388,1637,83,119.78987502647743,28.45651438638455,56.069476805761525,24.703887069802803
2023,14473,37133.14640000007,5034,2570,86,123.70885814577741,29.58086491607861,61.850712368366764,21.241841571343762
2024,7814,18935.4903166668,2477,1346,70,126.0125126817721,28.78135189419533,59.515725397362246,16.78828727327587
2025,3702,10931.13595,1409,566,50,125.0840053763441,28.075104616221868,60.21975806451616,16.035962004596016
